sentiment,review_body,product_category
-1,I was intrigued by the pattern of this blouse (the purple version) but the design is terrible for me. it's boxy  i didn't like the fabric  and the arm ruffles are bizarre. it's going back tomorrow.,Blouses
-1,"I bought two  one in white and one in blue print and wore the blue print top once and loved it. then i washed it according to the instructions on the tag (in cold gentle cycle and hung to dry). it shrunk up 4"" in the length and 2"" in the width and now it doesn't fit at all. also  after one wear  the buttons are coming off (before i even put it in the wash) and it's covered in loose threads. the quality is just not there. i'm going to return both and show the sales lady the difference in size on",Blouses
-1,Absolutely beautiful top  worn once...hand washed and that's all she wrote..ruined!! the black trim bled all over the top!! i tried everything you could imagine to get this back to normal! do not recommend!! :(,Blouses
-1,I thought this top was so cute but when i tried it on  it is so big on the bottom  it looks like a tent. i normally wear a l or xl and took it back to the store to try on a medium and that one fit better but the bottom was still too big. sad.,Blouses
-1,Note to photographers: please don't cinch the wait of a blouse to make something look tailored when it isn't. this could have been a real win if it had been more simply executed. i'm petite  way too much fabric. returned.,Blouses
-1,Loved loved loved the shirt but...the material was so thin,Blouses
-1,This looked like a simple  chic blouse  but the fabric felt cheap to me  like thin lining fabric. the neckline is too deep and wide as well and so not flattering.,Blouses
-1,I ordered this shirt online and didn't even try it on... it is super see through and i would need to wear a tank underneath and i don't want to have that extra layer in the summer.  it is cute though!,Blouses
-1,Why do designers keep making crop tops??!! i can't imagine this would be flattering on anyone  especially someone average height and well endowed on top. i looked like a football player. the pattern and fabric are gorgeous  so if you are like 4' tall and super tiny and can fit xxs this may work? i am between a 6-8 and fit a small and it was huge on me and almost was bigger at the bottom than the top. such a weird cut. there is a cami underneath so if it rides up that will show but that is so 80s,Blouses
0,I'd recommend getting this top- but only after understanding its limitations. it's beautiful and i bought it even after reading the other critical and accurate reviews because i so loved how it paired with the skirt. unless you size down the rigid form of the embellished straps will lie funny  and the rest of the top fits bizarrely as it is both short (it could almost expose the bottom of your stomach) and has lots of fabric so it almost flows out all around you (accentuating your stomach and ma,Blouses
0,I wish this fit more to the body  it really does flare out a lot a adding volume to the person wearing it. the mustard color is beautiful  so is the pink (i ordered both to compare). but the 00 was still big on me (and p). so i passed.  fabric is light for summer  so if you are thin  not muscular  perhaps that would look great?,Blouses
0,Purchased this top because of the sale. i got it in the peach and the maize. i think it is big  boxy  and loose but at the sale price it is not a bad top to have. the colors are vibrant and striking. pretty with shorts and capris. i did size down from 2 to 0,Blouses
0,I saw this top in the box and was excited to try it on. the print is absolutely stunning and gorgeous  i could not wait. when i tried it on  it is such a loose top and a tad short. it was flowy all over. i expected it to be loose from the picture but not like this. it would work best on a very slender figure with white pants or leggings. i don't recommend it for a curvy figure  just not flattering. makes everything look big. what a waste because the print is so nice.,Blouses
0,"I was initially drawn to the intricate floral design of the neutral motif. it looks huge and boxy  so i sized down to a 0- which ended up being too tight in the chest and arm holes (for reference  i'm 5'7""  130lbs  34a). i returned it for a size 2  which fit much better. in the end  i decided not to keep it because of the lack of shape  and it's a little unflattering for smaller busts. it does come with a matching cami and seems well-made  but it just wasn't for me.",Blouses
0,"I'm still on the fence with this shirt. i have the grey - it almost looks like a cheetah design up close. i'm 5'3""",Blouses
0,"I so wanted this blouse to work. the lacework is beautiful  and it is a substantial and well made top. the neck fits well  which is not a given for this style top  and i really like the 3/4 length sleeves. but the top billows out like a tent on me in all directions  and it was an awkward length on me (not quite hip length  not quite tunic). wish this were cut a little straighter and longer. i'm 5'4""  120 lbs and tried a size s.",Blouses
0,I ordered this item when it was first advertised  fell in love with the unique pattern in the top and could hardly wait for it to get here. however when i received the top i was very disappointed  the fabric is cheap  the sleeves are tight and the overall product is of poor quality and poorly constructed. needless to say i returned it.,Blouses
0,I'm so disappointed with the fit of this top. it is extremely short  even for my 5'2 frame. sizing up will not fix the length. too bad  because the shirt is cute.,Blouses
1,This blouse in the purple motif is lovely. unfortunately for me  it runs small.,Blouses
1,I love this blouse! i just bought it recently and have yet to wear it out other than trying it on. this blouse looked very nice on me which can be challenging. i don't live near an retailer so i have to order online exclusively. i have larger hips (135lbs  5'6) and finding flattering tops can be tough. sometimes they look amazing online and then once i try them on  they just don't look right. some shirts have a tendency to accentuate my hips too much making me look shorter. this top looked great a,Blouses
1,This top is so beautiful and well made  and the detailing in the back is gorgeous. it's unexpected and makes this piece really special. it does run a tiny bit large; i've gotten retailer chambray a before  and they usually shrink a touch in the wash and then for just right. i haven't washed this yet  but even a little large it fits well and hangs nicely without being overly baggy. get this  you won't regret it!,Blouses
1,The only negative thing i have to say is that the color in person is different than the picture- it is much more of a coral pink than a rosy pink  which is fine just a tad unexpected! i ordered a size 8 and it fits perfectly (32ddd chest). the laser cut outs in the yoke add a very nice feminine  unique touch to an otherwise basic top. i can't wait to wear it!,Blouses
1,I get compliments on this top every single time i wear it. the pattern is so pretty  and while it's very lightweight  it still drapes nicely. i would caution that someone with a larger chest may find that the shape is not quite right - i am a 34d and just on the cusp of having it be too balloon-y on top.,Blouses
1,I was looking for something to wear on jeans fridays. this tunic is super cute and looks great with jeggings. i did find the sizing small for me  but i am busty.,Blouses
1,I was pleasantly surprised to find this piece in stock at my local store. it's a very comfortable top with plenty of room. the only criticism i have regarding it is that it's a bit maternity-esque. bought it in an xs.,Blouses
1,"Love this blouse--looks like a fp blouse yet a bit cheaper and well made! looks feminine and edgy on. may size out for taller gals b/c it is a bit on the shorter length. i am 5'5"" and the length is just right on me untucked. the lace on the sleeves are gorgeous and neckline is not too high!",Blouses
1,Bypassed this blouse online  but it's striking colors caught my eye at the store. bought the olive green color and it's gorgeous! the color is great for both spring and fall. i'm normally a petite xs at 5'0 feet and 104 pounds  the regular xs is a great fit for me. not too boxy and the length hits right at my waist. material is lighweight and flowey. don't hesitate to buy  it's a great piece to add some pop of color and goes great with skinny jeans..,Blouses
-1,I ordered this in cream during the 25% sale. i had seen one at the store and thought it was very pretty  but it was not my size  so i didn't try it on. when it arrived  it was a wrinkled mess. it was so wrinkled that i don't think i would be able to iron it satisfactorily. i was also disappointed in the fabric of the dress layer. it almost looked flocked and i wonder if something is wrong with this dress in particular. it was also way too short for me. i'll be taking it back very soon. i do plan,Dresses
